City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
60,Ostrovnoy,RU,68.0531,39.5131,47.68,96,31,3.76,scattered clouds,2022-07-21 01:26:14
61,East London,ZA,-33.0153,27.9116,60.6,85,47,7.83,scattered clouds,2022-07-21 01:20:41
62,Mezica,SI,46.5214,14.8544,65.71,62,57,2.15,broken clouds,2022-07-21 01:26:14
63,Luderitz,NA,-26.6481,15.1594,55.74,62,0,14.61,clear sky,2022-07-21 01:23:19
64,Te Anau,NZ,-45.4167,167.7167,42.55,83,93,2.3,overcast clouds,2022-07-21 01:26:15
65,Arraial Do Cabo,BR,-22.9661,-42.0278,70.07,85,2,11.63,clear sky,2022-07-21 01:20:37
66,Corrente,BR,-3.7367,-43.3394,71.96,69,9,3.31,clear sky,2022-07-21 01:26:15
67,Guerrero Negro,MX,27.9769,-114.0611,76.32,56,9,17.11,clear sky,2022-07-21 01:21:46
68,Upernavik,GL,72.7868,-56.1549,48.11,70,100,7.78,overcast clouds,2022-07-21 01:18:11
69,Lerwick,GB,60.1545,-1.1494,53.6,88,100,16.26,overcast clouds,2022-07-21 01:26:16
70,Byurakan,AM,40.338,44.2714,71.6,65,0,3.0,clear sky,2022-07-21 01:26:16
71,Port Lincoln,AU,-34.7333,135.8667,55.29,67,0,13.22,clear sky,2022-07-21 01:26:16
72,Gainesville,US,29.6516,-82.3248,75.9,89,20,0.0,few clouds,2022-07-21 01:25:08
73,Tasiilaq,GL,65.6145,-37.6368,37.56,77,100,3.78,overcast clouds,2022-07-21 01:26:17
74,Severo-Kurilsk,RU,50.6789,156.125,52.65,97,99,12.93,light rain,2022-07-21 01:14:12
75,Katherine,AU,-14.4667,132.2667,79.12,34,59,14.97,broken clouds,2022-07-21 01:26:17
76,Fort Nelson,CA,58.8053,-122.7002,74.79,33,75,8.05,broken clouds,2022-07-21 01:26:18
77,Bluff,NZ,-46.6,168.3333,44.8,68,100,7.54,overcast clouds,2022-07-21 01:16:55
78,Kaitangata,NZ,-46.2817,169.8464,43.27,81,100,8.41,overcast clouds,2022-07-21 01:20:33
79,Castro,BR,-24.7911,-50.0119,56.32,93,6,4.29,clear sky,2022-07-21 01:18:24
80,Sayat,TM,38.7839,63.8803,83.55,16,0,13.35,clear sky,2022-07-21 01:26:18
81,Kigali,RW,-1.95,30.0588,63.88,63,20,2.3,few clouds,2022-07-21 01:21:57
82,Nikolskoye,RU,59.7035,30.7861,64.87,82,8,7.05,clear sky,2022-07-21 01:24:25
83,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.42,46,100,1.28,overcast clouds,2022-07-21 01:26:19
84,Southbridge,US,42.0751,-72.0334,82.56,82,0,5.17,clear sky,2022-07-21 01:26:20
85,Bengkulu,ID,-3.8004,102.2655,77.77,87,18,2.86,few clouds,2022-07-21 01:12:45
86,Puerto Ayora,EC,-0.7393,-90.3518,67.55,99,45,8.01,scattered clouds,2022-07-21 01:26:20
87,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds,2022-07-21 01:16:59
